id,job_title,job_info,position_type_id,company,city,location_id,seniority_level_id,work_type,industry_type_id,min_salary,max_salary,avg_salary,company_score,sector,skills
1,Software Engineer,Unspecified,1,Viewsoft,Manassas,46,1,Unspecified,1,68000.0,94000.0,81000.0,4.8,Unspecified,Unspecified
2,Software Support Engineer,Unspecified,2,Workiva,Remote,51,1,Unspecified,1,61000.0,104000.0,82500.0,4.3,Unspecified,Unspecified
3,C# Software Engineer,Unspecified,1,"Garmin International, Inc.",Cary,33,1,Unspecified,1,95000.0,118000.0,106500.0,3.9,Unspecified,Unspecified
4,"Software Engineer, Fullstack, 1+ Years Of Experience",Unspecified,1,Snapchat,Los Angeles,5,1,Unspecified,1,97000.0,145000.0,121000.0,3.5,Unspecified,Unspecified
5,Software Engineer,Unspecified,1,Vitesco Technologies Group Ag,Seguin,43,1,Unspecified,1,85000.0,108000.0,96500.0,3.1,Unspecified,Unspecified
6,Backend Engineer Ii,Unspecified,1,Spotify,New York,32,2,Unspecified,1,123000.0,175000.0,149000.0,3.9,Unspecified,Unspecified
7,Associate Software Engineer,Unspecified,1,Infor,Alpharetta,10,1,Unspecified,1,77000.0,94000.0,85500.0,4.0,Unspecified,Unspecified
8,Software Developers,Unspecified,1,Amerisoft Corporation,Farmington Hills,22,3,Unspecified,1,71000.0,100000.0,85500.0,5.0,Unspecified,Unspecified
9,"Software Engineer Ii (Backend, Health)",Unspecified,1,Whoop,Boston,21,2,Unspecified,1,94000.0,148000.0,121000.0,3.3,Unspecified,Unspecified
10,Sr. Software Engineer,Unspecified,1,Pff,Remote,51,4,Unspecified,1,147000.0,189000.0,168000.0,4.2,Unspecified,Unspecified
11,Mts Software Engineer,Unspecified,1,Salesforce,San Francisco,5,1,Unspecified,1,90000.0,113000.0,101500.0,4.1,Unspecified,Unspecified
12,Software Engineer,Unspecified,1,"Healthmine Services, Inc.",Remote,51,1,Unspecified,1,54000.0,79000.0,66500.0,3.8,Unspecified,Unspecified
13,Software Engineer I,Unspecified,1,Honeywell,Aguadilla,66,1,Unspecified,1,91000.0,135000.0,113000.0,4.1,Unspecified,Unspecified
14,Software Engineer,Unspecified,1,Legrand Av,Minneapolis-Saint Paul,23,1,Unspecified,1,70000.0,135000.0,102500.0,3.7,Unspecified,Unspecified
15,"Software Engineer, Athenacollector – Rcm Rules",Unspecified,1,Athenahealth,Boston,21,1,Unspecified,1,192000.0,288000.0,240000.0,4.0,Unspecified,Unspecified
16,Java Engineer,Unspecified,3,Amex,Plantation,9,1,Unspecified,1,100000.0,125000.0,112500.0,4.1,Unspecified,Unspecified
17,Entry Level To Senior Level Software Developers,Unspecified,1,Soft Labs Na,Northborough,21,4,Unspecified,1,85000.0,127000.0,106000.0,5.0,Unspecified,Unspecified
18,"Software Engineer, C++",Unspecified,1,Snapchat,Los Angeles,5,1,Unspecified,1,69000.0,109000.0,89000.0,3.5,Unspecified,Unspecified
19,Software Engineer,Unspecified,1,Hertz,Seattle,47,1,Unspecified,1,124000.0,234000.0,179000.0,3.2,Unspecified,Unspecified
