location_id,case_id,is_metro,area_name,parents,children,housing_cost,food_cost,transportation_cost,healthcare_cost,other_necessities_cost,childcare_cost,taxes,total_cost,median_family_income
1,1,True,Montgomery,1,0,8505.73,3454.92,10829.17,5737.48,4333.81,0.0,6392.95,39254.05,73010.41
1,1,True,Montgomery,1,1,12067.5,5091.71,11588.19,8659.56,6217.46,6147.83,7422.08,57194.33,73010.41
1,1,True,Montgomery,1,2,12067.5,7460.2,12361.78,11581.63,7075.66,15824.69,9769.56,76141.03,73010.41
1,1,True,Montgomery,1,3,15257.15,9952.24,13452.19,14503.71,9134.36,18802.19,13101.7,94203.53,73010.41
1,1,True,Montgomery,1,4,15257.15,12182.21,13744.6,17425.79,9942.36,18802.19,13469.22,100823.52,73010.41
1,1,True,Montgomery,2,0,10180.29,6334.01,12861.89,11474.96,5983.79,0.0,8236.73,55071.67,73010.41
1,1,True,Montgomery,2,1,12067.5,7883.32,13589.11,14397.04,7228.97,6147.83,9459.9,70773.67,73010.41
1,1,True,Montgomery,2,2,12067.5,9984.05,14723.61,17319.11,7990.15,15824.69,11168.75,89077.87,73010.41
1,1,True,Montgomery,2,3,15257.15,12189.77,14994.6,20241.19,9945.1,18802.19,13210.15,104640.15,73010.41
1,1,True,Montgomery,2,4,15257.15,14917.36,15064.26,23163.27,10933.42,18802.19,13417.22,111554.86,73010.41
1,2,True,Daphne-Fairhope-Foley,1,0,8616.0,3714.29,10731.65,5593.48,4467.75,0.0,6455.72,39578.89,77884.76
1,2,True,Daphne-Fairhope-Foley,1,1,11064.0,5473.97,11522.94,8444.01,5992.36,5962.71,7096.61,55556.6,77884.76
1,2,True,Daphne-Fairhope-Foley,1,2,11064.0,8020.28,12869.34,11294.53,6914.99,15348.2,9477.64,74988.97,77884.76
1,2,True,Daphne-Fairhope-Foley,1,3,14988.0,10699.4,13452.96,14145.06,9307.56,18236.04,12997.84,93826.88,77884.76
